instance_id,n_sys,d,M,M_over_d,fiducial_id,orbit_index_set_id,prior_type,benchmark_seed,data_seed,raw_outcomes,effective_m_outcomes,projection_strategy,class_group_sizes,coverage_ratio,model_type,model_name,walsh_degree,p_opt,p_succ_walsh_deg1,gap_abs_walsh_deg1,gap_rel_walsh_deg1,num_ucr_params_walsh_deg1,optimizer_name,learning_rate,learning_rate_schedule,max_steps,eval_interval,threshold,num_restarts,stopping_rule,aggregation_rule,best_restart_walsh_deg1,seed_opt_walsh_deg1,num_steps_walsh_deg1,termination_reason_walsh_deg1,wall_clock_sec_walsh_deg1
0,3,8,10,1.25,weyl_seed_310000,weyl_labels_seed_610000_unique,uniform,310000,610000,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.6753763825492125,0.6283693243299908,0.04700705821922169,0.06960127631616794,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,17,17,1000,max_steps,76.64965604431927
1,3,8,10,1.25,weyl_seed_310001,weyl_labels_seed_610001_unique,uniform,310001,610001,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.6535234247667049,0.6204581926227115,0.03306523214399337,0.05059532817174383,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,34,34,1000,max_steps,77.73589582554996
2,3,8,10,1.25,weyl_seed_310002,weyl_labels_seed_610002_unique,uniform,310002,610002,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.6697057570378347,0.6239216958167693,0.045784061221065486,0.0683644432497822,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,49,49,1000,max_steps,73.69440514966846
3,3,8,10,1.25,weyl_seed_310003,weyl_labels_seed_610003_unique,uniform,310003,610003,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.6683034884801743,0.6265048433357978,0.04179864514437648,0.06254440664290573,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,49,49,1000,max_steps,75.20159159041941
4,3,8,10,1.25,weyl_seed_310004,weyl_labels_seed_610004_unique,uniform,310004,610004,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.6889339428215966,0.6769563918350212,0.01197755098657538,0.01738563052579489,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,31,31,450,threshold,33.934310767799616
5,3,8,10,1.25,weyl_seed_310005,weyl_labels_seed_610005_unique,uniform,310005,610005,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.6657197906599317,0.6161377288223863,0.04958206183754543,0.07447887614756722,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,43,43,1000,max_steps,74.39131290651858
6,3,8,10,1.25,weyl_seed_310006,weyl_labels_seed_610006_unique,uniform,310006,610006,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.7166568971507646,0.6776033455396568,0.039053551611107795,0.05449407068622967,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,2,2,1000,max_steps,75.47696343623102
7,3,8,10,1.25,weyl_seed_310007,weyl_labels_seed_610007_unique,uniform,310007,610007,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.6300530642924292,0.5911371467108408,0.03891591758158841,0.06176609524991723,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,34,34,1000,max_steps,76.67009324766695
8,3,8,10,1.25,weyl_seed_310008,weyl_labels_seed_610008_unique,uniform,310008,610008,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.6877537534448789,0.6447431848133374,0.04301056863154151,0.06253774467402985,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,45,45,1000,max_steps,73.92194579914212
9,3,8,10,1.25,weyl_seed_310009,weyl_labels_seed_610009_unique,uniform,310009,610009,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,walsh_degree_1,walsh_k_local,1,0.6896354451357734,0.6373156784863565,0.05231976664941684,0.07586583174986936,22,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,11,11,1000,max_steps,76.69526418671012
